addr:5	 file:	 ram:01100100
addr:6	 file:	 ram:01101111
addr:7	 file:	 ram:01110111
addr:8	 file:	 ram:01101110
addr:10	 file:	 ram:01100100
addr:11	 file:	 ram:01110111
addr:12	 file:	 ram:01101111
addr:13	 file:	 ram:01101110
addr:14	 file:	 ram:01100100
addr:15	 file:	 ram:01100110
addr:16	 file:	 ram:01101100
addr:28	 file:	 ram:01100110
addr:29	 file:	 ram:01101111
addr:30	 file:	 ram:01100111
addr:31	 file:	 ram:01101110
addr:32	 file:	 ram:01100100
addr:33	 file:	 ram:01101100
addr:66	 file:	 ram:01100110
addr:67	 file:	 ram:01101110
addr:68	 file:	 ram:01100111
addr:69	 file:	 ram:01101101
addr:70	 file:	 ram:01100101
addr:71	 file:	 ram:01101111
addr:72	 file:	 ram:01101101
addr:73	 file:	 ram:01110110
addr:74	 file:	 ram:01110101
addr:75	 file:	 ram:01110100
addr:76	 file:	 ram:01101111
addr:77	 file:	 ram:01100101
addr:78	 file:	 ram:01101111
addr:79	 file:	 ram:01100110
addr:80	 file:	 ram:01101100
addr:81	 file:	 ram:01101110
addr:82	 file:	 ram:01100100
addr:83	 file:	 ram:01101111
addr:84	 file:	 ram:01100110
addr:85	 file:	 ram:01101110
addr:86	 file:	 ram:01100111
addr:87	 file:	 ram:01101101
addr:88	 file:	 ram:01100111
addr:89	 file:	 ram:01101111
addr:90	 file:	 ram:01101110
addr:91	 file:	 ram:01101100
addr:92	 file:	 ram:01101111
addr:93	 file:	 ram:01101110
addr:94	 file:	 ram:01101100
addr:95	 file:	 ram:01110111
addr:96	 file:	 ram:01101111
addr:97	 file:	 ram:01100100
addr:98	 file:	 ram:01100110
addr:99	 file:	 ram:01101110
addr:100	 file:	 ram:01101101
addr:101	 file:	 ram:01110110
addr:102	 file:	 ram:01110101
addr:103	 file:	 ram:01100101
addr:104	 file:	 ram:01101111
addr:105	 file:	 ram:01110110
addr:106	 file:	 ram:01101101
addr:107	 file:	 ram:01110111
addr:108	 file:	 ram:01110100
addr:109	 file:	 ram:01100101
addr:110	 file:	 ram:01101111
addr:111	 file:	 ram:01101101
addr:112	 file:	 ram:01110110
addr:113	 file:	 ram:01101100
addr:114	 file:	 ram:01101100
addr:115	 file:	 ram:01101111
addr:116	 file:	 ram:01101110
addr:117	 file:	 ram:01100101
addr:118	 file:	 ram:01110111
addr:119	 file:	 ram:01100100
addr:120	 file:	 ram:01101101
addr:121	 file:	 ram:01101110
addr:122	 file:	 ram:01111100
addr:123	 file:	 ram:01100110
addr:124	 file:	 ram:01100111
addr:125	 file:	 ram:01110110
addr:126	 file:	 ram:01100100
addr:139	 file:	 ram:01101100
addr:140	 file:	 ram:01101111
addr:141	 file:	 ram:01101110
addr:142	 file:	 ram:01110111
addr:143	 file:	 ram:01101100
addr:144	 file:	 ram:01100100
addr:145	 file:	 ram:01100110
addr:146	 file:	 ram:01111100
addr:147	 file:	 ram:01101110
addr:148	 file:	 ram:01110110
addr:149	 file:	 ram:01100110
addr:150	 file:	 ram:01111100
addr:151	 file:	 ram:01101101
addr:152	 file:	 ram:01100111
addr:153	 file:	 ram:01100110
addr:154	 file:	 ram:01101110
addr:155	 file:	 ram:01110110
addr:156	 file:	 ram:01101100
addr:157	 file:	 ram:01101110
addr:158	 file:	 ram:01101111
addr:159	 file:	 ram:01101100
addr:160	 file:	 ram:01101110
addr:161	 file:	 ram:01101111
addr:162	 file:	 ram:01110111
addr:163	 file:	 ram:01101100
addr:164	 file:	 ram:01100110
addr:165	 file:	 ram:01101110
addr:166	 file:	 ram:01110111
addr:167	 file:	 ram:01101111
addr:168	 file:	 ram:01100100
addr:169	 file:	 ram:01101110
addr:170	 file:	 ram:01100110
addr:171	 file:	 ram:01110111
addr:172	 file:	 ram:01101100
addr:173	 file:	 ram:01101111
addr:174	 file:	 ram:01100100
addr:175	 file:	 ram:01100110
addr:176	 file:	 ram:01101110
addr:177	 file:	 ram:01101100
addr:178	 file:	 ram:01101111
addr:179	 file:	 ram:01110111
addr:180	 file:	 ram:01101110
addr:181	 file:	 ram:01100100
addr:182	 file:	 ram:01100110
addr:183	 file:	 ram:01101100
addr:184	 file:	 ram:01101111
addr:185	 file:	 ram:01110111
addr:186	 file:	 ram:01101110
addr:187	 file:	 ram:01100100
addr:188	 file:	 ram:01100110
addr:189	 file:	 ram:01101100
addr:190	 file:	 ram:01110111
addr:191	 file:	 ram:01101111
addr:192	 file:	 ram:01101110
addr:193	 file:	 ram:01100100
addr:194	 file:	 ram:01101100
addr:195	 file:	 ram:01100110
addr:196	 file:	 ram:01101111
addr:197	 file:	 ram:01110111
addr:198	 file:	 ram:01101110
addr:199	 file:	 ram:01100100
addr:200	 file:	 ram:01100110
addr:201	 file:	 ram:01101100
addr:202	 file:	 ram:01110111
addr:203	 file:	 ram:01101111
addr:204	 file:	 ram:01101110
addr:205	 file:	 ram:01100110
addr:206	 file:	 ram:01100100
addr:207	 file:	 ram:01101100
