addr:25	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:30	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:61	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:68	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:86	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:340	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:345	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:350	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:369	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:374	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:391	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:394	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:420	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:425	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:456	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:463	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:481	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:735	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:740	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:745	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:764	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:769	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:786	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:789	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:815	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:820	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:851	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:858	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
addr:876	 file:67	 ram:01100011; 	 Corrected ram:0b001100111	oddparity :0
