ADDR : 4	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 9	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 13	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 26	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 31	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 34	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 35	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 41	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 42	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 43	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 46	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 47	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 56	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 58	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 67	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 69	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 72	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 73	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 81	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 85	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 88	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 90	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 93	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 99	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 100	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 101	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 105	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 106	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 111	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 112	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 116	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 122	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 124	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 127	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 134	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
