addr:1	 file:61	 ram:01100101
addr:2	 file:6B	 ram:01101111
addr:3	 file:73	 ram:01110111
addr:4	 file:6A	 ram:01101110
addr:6	 file:6B	 ram:01101111
addr:7	 file:73	 ram:01110111
addr:9	 file:6A	 ram:01101110
addr:11	 file:73	 ram:01110111
addr:12	 file:6B	 ram:01101111
addr:13	 file:6A	 ram:01101110
addr:16	 file:68	 ram:01101100
addr:18	 file:68	 ram:01101100
addr:19	 file:6B	 ram:01101111
addr:24	 file:6B	 ram:01101111
addr:26	 file:6A	 ram:01101110
addr:29	 file:6B	 ram:01101111
addr:31	 file:6A	 ram:01101110
addr:34	 file:72	 ram:01110110
addr:35	 file:72	 ram:01110110
addr:41	 file:63	 ram:01100111
addr:42	 file:63	 ram:01100111
addr:43	 file:63	 ram:01100111
addr:46	 file:72	 ram:01110110
addr:47	 file:72	 ram:01110110
addr:51	 file:73	 ram:01110111
addr:55	 file:6B	 ram:01101111
addr:56	 file:6A	 ram:01101110
addr:57	 file:6B	 ram:01101111
addr:58	 file:6A	 ram:01101110
addr:60	 file:6B	 ram:01101111
addr:65	 file:6B	 ram:01101111
addr:67	 file:6A	 ram:01101110
addr:69	 file:69	 ram:01101101
addr:72	 file:69	 ram:01101101
addr:73	 file:72	 ram:01110110
addr:78	 file:6B	 ram:01101111
addr:81	 file:6A	 ram:01101110
addr:83	 file:6B	 ram:01101111
addr:85	 file:6A	 ram:01101110
addr:88	 file:63	 ram:01100111
addr:89	 file:6B	 ram:01101111
addr:90	 file:6A	 ram:01101110
addr:92	 file:6B	 ram:01101111
addr:93	 file:6A	 ram:01101110
addr:95	 file:73	 ram:01110111
addr:96	 file:6B	 ram:01101111
addr:99	 file:6A	 ram:01101110
addr:100	 file:69	 ram:01101101
addr:101	 file:72	 ram:01110110
addr:105	 file:72	 ram:01110110
addr:106	 file:69	 ram:01101101
addr:108	 file:70	 ram:01110100
addr:111	 file:69	 ram:01101101
addr:112	 file:72	 ram:01110110
addr:115	 file:6B	 ram:01101111
addr:116	 file:6A	 ram:01101110
addr:117	 file:61	 ram:01100101
addr:118	 file:73	 ram:01110111
addr:122	 file:78	 ram:01111100
addr:123	 file:62	 ram:01100110
addr:124	 file:63	 ram:01100111
addr:127	 file:6A	 ram:01101110
addr:129	 file:68	 ram:01101100
addr:130	 file:73	 ram:01110111
addr:131	 file:6B	 ram:01101111
addr:134	 file:69	 ram:01101101
addr:135	 file:72	 ram:01110110
addr:136	 file:79	 ram:01111101
addr:138	 file:6A	 ram:01101110
addr:139	 file:68	 ram:01101100
addr:140	 file:6B	 ram:01101111
addr:141	 file:6A	 ram:01101110
addr:142	 file:73	 ram:01110111
addr:143	 file:68	 ram:01101100
addr:146	 file:78	 ram:01111100
addr:149	 file:62	 ram:01100110
addr:150	 file:78	 ram:01111100
addr:152	 file:63	 ram:01100111
addr:153	 file:62	 ram:01100110
addr:156	 file:68	 ram:01101100
addr:157	 file:6A	 ram:01101110
addr:158	 file:6B	 ram:01101111
addr:159	 file:68	 ram:01101100
addr:160	 file:6A	 ram:01101110
addr:161	 file:6B	 ram:01101111
addr:162	 file:73	 ram:01110111
addr:163	 file:68	 ram:01101100
addr:165	 file:6A	 ram:01101110
addr:166	 file:73	 ram:01110111
